artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,0.8,0.436,0.207
code,25,reformatted,5,0.8,0.539,0.219
code,25,truncated,5,1.0,0.396,0.318
code,25,verbatim,5,1.0,0.762,0.4
code,50,paraphrased,5,0.8,0.634,0.2
code,50,reformatted,5,1.0,0.917,0.808
code,50,truncated,5,1.0,0.797,0.593
code,50,verbatim,5,1.0,0.98,0.898
code,100,paraphrased,5,1.0,0.7,0.357
code,100,reformatted,5,1.0,0.96,0.883
code,100,truncated,5,1.0,1.0,1.0
code,100,verbatim,5,1.0,1.0,1.0
code,200,paraphrased,5,1.0,0.752,0.622
code,200,reformatted,5,1.0,1.0,1.0
code,200,truncated,5,1.0,1.0,1.0
code,200,verbatim,5,1.0,1.0,1.0
code,500,paraphrased,5,1.0,0.885,0.73
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,1.0,1.0
code,500,verbatim,5,1.0,1.0,1.0
prose,25,paraphrased,5,1.0,0.557,0.304
prose,25,reformatted,5,0.8,0.542,0.2
prose,25,truncated,5,0.8,0.523,0.225
prose,25,verbatim,5,1.0,0.69,0.475
prose,50,paraphrased,5,1.0,0.561,0.403
prose,50,reformatted,5,1.0,0.755,0.578
prose,50,truncated,5,1.0,0.732,0.375
prose,50,verbatim,5,1.0,0.935,0.8
prose,100,paraphrased,5,1.0,0.583,0.375
prose,100,reformatted,5,1.0,0.963,0.875
prose,100,truncated,5,1.0,0.935,0.675
prose,100,verbatim,5,1.0,0.935,0.675
prose,200,paraphrased,5,1.0,0.917,0.65
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,1.0,1.0
prose,500,paraphrased,5,1.0,0.993,0.965
prose,500,reformatted,5,1.0,1.0,1.0
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,paraphrased,5,0.6,0.433,0.172
structured,25,reformatted,5,1.0,0.666,0.328
structured,25,truncated,5,0.8,0.361,0.242
structured,25,verbatim,5,1.0,0.544,0.347
structured,50,paraphrased,5,1.0,0.746,0.468
structured,50,reformatted,5,1.0,0.988,0.938
structured,50,truncated,5,1.0,0.77,0.569
structured,50,verbatim,5,1.0,0.928,0.747
structured,100,paraphrased,5,1.0,0.778,0.547
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,0.965,0.842
structured,100,verbatim,5,1.0,0.992,0.958
structured,200,paraphrased,5,1.0,0.859,0.63
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,1.0,1.0,1.0
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,paraphrased,5,1.0,0.848,0.636
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,paraphrased,5,1.0,0.656,0.4
terse,25,reformatted,5,1.0,0.729,0.484
terse,25,truncated,5,1.0,0.588,0.475
terse,25,verbatim,5,1.0,0.592,0.354
terse,50,paraphrased,5,1.0,0.739,0.551
terse,50,reformatted,5,1.0,0.945,0.85
terse,50,truncated,5,1.0,0.989,0.946
terse,50,verbatim,5,1.0,0.978,0.889
terse,100,paraphrased,5,1.0,0.988,0.938
terse,100,reformatted,5,1.0,0.99,0.95
terse,100,truncated,5,1.0,1.0,1.0
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,paraphrased,5,1.0,0.936,0.831
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,1.0,1.0
terse,200,verbatim,5,1.0,1.0,1.0
terse,500,paraphrased,5,1.0,0.984,0.919
terse,500,reformatted,5,1.0,1.0,1.0
terse,500,truncated,5,1.0,1.0,1.0
terse,500,verbatim,5,1.0,1.0,1.0
